"achievement.agent.common1.title" :"任务卷王",
"achievement.reaper.challenge.title":"死神降临",
"achievement.reaper.challenge.goal":"一局5具尸没人报，死神狂欢！",
"achievement.reaper.challenge.cond":"",

"achievement.rokurokubi.common1.title":"长颈杀手",
"achievement.rokurokubi.common1.goal":"用脖子干掉两人，长颈鹿都服！",
"achievement.rokurokubi.common1.cond":"",

"achievement.rokurokubi.common2.title":"蹲点大师",
"achievement.rokurokubi.common2.goal":"蹲3秒以上再干掉，耐心杀手！",
"achievement.rokurokubi.common2.cond":"",
"achievement.rokurokubi.common2.flavor":"“你中计了！”",

"achievement.rokurokubi.common3.title":"幽灵杀手",
"achievement.rokurokubi.common3.goal":"隐身状态下用脖子干掉10米外的人。",
"achievement.rokurokubi.common3.cond":"提示：得离本体10米以上。",

"achievement.rokurokubi.another1.title":"飘头悲剧",
"achievement.rokurokubi.another1.goal":"伸脖子时被干掉，飘头也危险！",
"achievement.rokurokubi.another1.cond":"",
"achievement.rokurokubi.another1.flavor":"“趁人之危啊！”",

"achievement.rokurokubi.challenge.title":"配合双杀",
"achievement.rokurokubi.challenge.goal":"队友杀人后你用脖子干掉另一个，双杀！",
"achievement.rokurokubi.challenge.cond":"提示：目标不能是队友。",

"achievement.sculptor.common1.title":"人机合一",
"achievement.sculptor.common1.goal":"干掉一个非队友的机械人，人机大战！",
"achievement.sculptor.common1.cond":"",

"achievement.sculptor.common2.title":"机械时代",
"achievement.sculptor.common2.goal":"累计造20个机械人，机械狂魔！",
"achievement.sculptor.common2.cond":"",

"achievement.sculptor.common3.title":"机械末日",
"achievement.sculptor.common3.goal":"机械人比活人还多，机器人统治！",
"achievement.sculptor.common3.cond":"",

"achievement.sculptor.challenge.title":"替罪机械",
"achievement.sculptor.challenge.goal":"造一个别人外貌的机械人，然后那人被投。",
"achievement.sculptor.challenge.cond":"提示：不能是自己或队友。",

"achievement.snatcher.common1.title":"技能大盗",
"achievement.snatcher.common1.goal":"偷别人技能，盗贼本色！",
"achievement.snatcher.common1.cond":"",

"achievement.snatcher.another1.title":"反被偷",
"achievement.snatcher.another1.goal":"被偷技能者又被偷，偷上瘾了！",
"achievement.snatcher.another1.cond":"",

"achievement.snatcher.common2.title":"偷鸡摸狗",
"achievement.snatcher.common2.goal":"偷技能后目标输了你赢，偷家成功！",
"achievement.snatcher.common2.cond":"",

"achievement.snatcher.challenge.title":"技能传承",
"achievement.snatcher.challenge.goal":"继承死去队友技能并赢，传承者！",
"achievement.snatcher.challenge.cond":"",
"achievement.snatcher.challenge.flavor":"“我替你活下去！”",

"achievement.sniper.common1.title":"花生狙击手",
"achievement.sniper.common1.goal":"狙杀一人，花生换命！",
"achievement.sniper.common1.cond":"",

"achievement.sniper.another1.title":"惊弓之鸟",
"achievement.sniper.another1.goal":"狙完后会上被投或赌杀，暴露了！",
"achievement.sniper.another1.cond":"",

"achievement.sniper.common2.title":"空中靶子",
"achievement.sniper.common2.goal":"狙杀一个天上飞的，神枪手！",
"achievement.sniper.common2.cond":"提示：得靠气动者。",

"achievement.sniper.challenge.title":"百步穿杨",
"achievement.sniper.challenge.goal":"狙杀两个20米外的，远程之王！",
"achievement.sniper.challenge.cond":"提示：有效射程20米以上。",

"achievement.stirrer.common1.title":"假新闻制造者",
"achievement.stirrer.common1.goal":"制造一次假破坏，搅局高手！",
"achievement.stirrer.common1.cond":"",

"achievement.stirrer.challenge.title":"七星搅局",
"achievement.stirrer.challenge.goal":"同时给7人假破坏，搅屎棍之王！",
"achievement.stirrer.challenge.cond":"提示：破坏任务3个以下且冷却10秒以上。",

"achievement.thurifer.common1.title":"香炉达人",
"achievement.thurifer.common1.goal":"累计激活10个香炉，香火不断！",
"achievement.thurifer.common1.cond":"",

"achievement.thurifer.common2.title":"害人害己",
"achievement.thurifer.common2.goal":"把身上的香熏转移到香炉里，自作自受！",
"achievement.thurifer.common2.cond":"",
"achievement.thurifer.common2.flavor":"“恶意终将报应”——警示语。",

"achievement.thurifer.challenge.title":"香熏魅力",
"achievement.thurifer.challenge.goal":"8人以上香熏50%，干掉4人，至少一人延迟死一人会上死。",
"achievement.thurifer.challenge.cond":"",

"achievement.whammy.common1.title":"气球杀手",
"achievement.whammy.common1.goal":"用气球陷阱勒死一人，气球索命！",
"achievement.whammy.common1.cond":"",

"achievement.whammy.common2.title":"气球连环杀",
"achievement.whammy.common2.goal":"累计用气球勒死10人，气球狂魔！",
"achievement.whammy.common2.cond":"",

"achievement.whammy.another1.title":"气球小丑",
"achievement.whammy.another1.goal":"没杀人放气球后被干或投，小丑结局！",
"achievement.whammy.another1.cond":"",

"achievement.whammy.challenge.title":"窒息快感",
"achievement.whammy.challenge.goal":"让船员因气球任务变慢，窒息战术！",
"achievement.whammy.challenge.cond":"提示：同时3人身上有气球。",

"achievement.arsonist.common1.title":"汽油味警告",
"achievement.arsonist.common1.goal":"3个以上涂油活人开会，汽油味十足！",
"achievement.arsonist.common1.cond":"",

"achievement.arsonist.challenge.title":"不配点火",
"achievement.arsonist.challenge.goal":"会上投掉唯一没涂油的并赢，净化仪式！",
"achievement.arsonist.challenge.cond":"",
"achievement.arsonist.challenge.flavor":"“你太干净了！”——纵火者说。",

"achievement.chainShifter.common1.title":"倒反天罡",
"achievement.chainShifter.common1.goal":"干掉交换师，以牙还牙！",
"achievement.chainShifter.common1.cond":"",
"achievement.chainShifter.common1.flavor":"亲手解决更安心。",

"achievement.chainShifter.another1.title":"天道轮回",
"achievement.chainShifter.another1.goal":"当交换师还输了，报应来了！",
"achievement.chainShifter.another1.cond":"",
"achievement.chainShifter.another1.flavor":"本来就不配赢。",

"achievement.chainShifter.challenge.title":"搅局大师",
"achievement.chainShifter.challenge.goal":"换别人职业后游戏结束还赢了，洗牌王！",
"achievement.chainShifter.challenge.cond":"",
"achievement.chainShifter.challenge.flavor":"再洗一次牌吧！",

"achievement.dancer.common1.title":"舞林高手",
"achievement.dancer.common1.goal":"在活人旁边跳舞，舞动青春！",
"achievement.dancer.common1.cond":"",

"achievement.dancer.another2.title":"舞台中央",
"achievement.dancer.another2.goal":"在2个以上活人面前用技能，C位出道！",
"achievement.dancer.another2.cond":"",

"achievement.dancer.common8.title":"预言舞王",
"achievement.dancer.common8.goal":"累计预言20次死亡，舞神附体！",
"achievement.dancer.common8.cond":"",

"achievement.dancer.common2.title":"死亡之舞",
"achievement.dancer.common2.goal":"在尸体旁跳舞，向死者致敬！",
"achievement.dancer.common2.cond":"",
"achievement.dancer.common2.flavor":"为死者献舞。",

"achievement.dancer.common3.title":"目击舞者",
"achievement.dancer.common3.goal":"看到舞蹈家跳舞，幸运观众！",
"achievement.dancer.common3.cond":"",

"achievement.dancer.common4.title":"漏网之鱼",
"achievement.dancer.common4.goal":"看到舞者跳舞还活下来赢，天选之子！",
"achievement.dancer.common4.cond":"",

"achievement.dancer.common5.title":"跟随舞步",
"achievement.dancer.common5.goal":"被预言死后跟着舞者赢，舞者信徒！",
"achievement.dancer.common5.cond":"",
"achievement.dancer.common5.flavor":"跟上舞步！",

"achievement.dancer.common6.title":"最终之舞",
"achievement.dancer.common6.goal":"成为最后一舞的目击者，见证传奇！",
"achievement.dancer.common6.cond":"",

"achievement.dancer.common7.title":"斗舞时刻",
"achievement.dancer.common7.goal":"和舞蹈家一起跳舞，舞林对决！",
"achievement.dancer.common7.cond":"",

"achievement.dancer.another1.title":"不受欢迎的舞",
"achievement.dancer.another1.goal":"跳舞后会上被投或赌杀，舞者悲剧！",
"achievement.dancer.another1.cond":"",

"achievement.dancer.challenge.title":"诅咒舞女",
"achievement.dancer.challenge.goal":"在豺狼或伪装者面前跳舞还赢，魅舞妖姬！",
"achievement.dancer.challenge.cond":"",
"achievement.dancer.challenge.flavor":"美丽的怪物。",

"achievement.gambler.common1.title":"稳如老狗",
"achievement.gambler.common1.goal":"对3人以上用套话，话术大师！",
"achievement.gambler.common1.cond":"",

"achievement.gambler.common2.title":"赌瘾发作",
"achievement.gambler.common2.goal":"累计下注20次，赌徒本性！",
"achievement.gambler.common2.cond":"",
"achievement.gambler.common2.flavor":"“下一把必赢”——赌徒碎碎念。",

"achievement.gambler.another1.title":"倾家荡产",
"achievement.gambler.another1.goal":"全押输了破产死，赌徒末路！",
"achievement.gambler.another1.cond":"",

"achievement.gambler.common3.title":"赢麻了",
"achievement.gambler.common3.goal":"全押赢了，赌神附体！",
"achievement.gambler.common3.cond":"",

"achievement.gambler.common4.title":"火中取栗",
"achievement.gambler.common4.goal":"单次会议下注3次全赢，赌圣降临！",
"achievement.gambler.common4.cond":"",

"achievement.combination.2.gambler.lover.another.title":"赌徒人生",
"achievement.combination.2.gambler.lover.another.goal":"破产后连累恋人死，悲剧赌徒！",
"achievement.combination.2.gambler.lover.another.cond":"",
"achievement.combination.2.gambler.lover.another.flavor":"※拒绝黄赌毒。",

"achievement.gambler.challenge.title":"幸运儿",
"achievement.gambler.challenge.goal":"不用套话赢一局，纯运气王！",
"achievement.gambler.challenge.cond":"",
"achievement.gambler.challenge.flavor":"“靠运气？别逗了”——赌场老板。",

"achievement.jackal.common1.title":"收小弟",
"achievement.jackal.common1.goal":"招募一个跟班，帮派老大！",
"achievement.jackal.common1.cond":"",

"achievement.jackal.challenge.title":"血战到底",
"achievement.jackal.challenge.goal":"只剩豺狼和跟班还赢，帮派胜利！",
"achievement.jackal.challenge.cond":"提示：得干掉最后一人。",
"achievement.jackal.challenge.flavor":"鲜血使我沸腾！",

"achievement.sidekick.common1.title":"升职加薪",
"achievement.sidekick.common1.goal":"跟班升成豺狼，职场逆袭！",
"achievement.sidekick.common1.cond":"",

"achievement.sidekick.common2.title":"传宗接代",
"achievement.sidekick.common2.goal":"升职后再招一个跟班，帮派扩张！",
"achievement.sidekick.common2.cond":"",

"achievement.sidekick.challenge.title":"背叛者",
"achievement.sidekick.challenge.goal":"从伪装者跳槽到豺狼还赢，叛徒胜利！",
"achievement.sidekick.challenge.cond":"提示：升职也算。",

"achievement.jester.common1.title":"小丑登场",
"achievement.jester.common1.goal":"会上得1票以上（自己投的不算），小丑魅力！",
"achievement.jester.common1.cond":"",

"achievement.jester.common2.title":"玩具时间",
"achievement.jester.common2.goal":"用“空弹”或“愤怒”造假信息后被投赢，小丑胜利！",
"achievement.jester.common2.cond":"",

"achievement.jester.challenge.title":"欢乐会议",
"achievement.jester.challenge.goal":"会上被投赢，小丑狂欢！",
"achievement.jester.challenge.cond":"",
"achievement.jester.challenge.flavor":"加入欢愉吧！",

"achievement.paparazzo.common1.title":"生活记录员",
"achievement.paparazzo.common1.goal":"拍3张有效照片，狗仔日常！",
"achievement.paparazzo.common1.cond":"",

"achievement.paparazzo.common2.title":"大合照",
"achievement.paparazzo.common2.goal":"展示一张4人以上照片，全家福！",
"achievement.paparazzo.common2.cond":"",
"achievement.paparazzo.common2.flavor":"“这照片充满尔虞我诈”——会议记录。",

"achievement.paparazzo.common3.title":"偷拍大师",
"achievement.paparazzo.common3.goal":"拍进出通风瞬间，狗仔技能！",
"achievement.paparazzo.common3.cond":"",
"achievement.paparazzo.common3.flavor":"“美好就在身边”——摄影师心得。",

"achievement.paparazzo.common4.title":"铁证如山",
"achievement.paparazzo.common4.goal":"拍同时有尸体和凶手的照片，证据确凿！",
"achievement.paparazzo.common4.cond":"",
"achievement.paparazzo.common4.flavor":"“一线证据！”——摄影师心得。",

"achievement.paparazzo.another1.title":"头号嫌疑人",
"achievement.paparazzo.another1.goal":"作为内鬼被公开照片展示，曝光了！",
"achievement.paparazzo.another1.cond":"",

"achievement.paparazzo.challenge.title":"舆论杀手",
"achievement.paparazzo.challenge.goal":"会上公开照片导致4人以上死亡，诅咒照片！",
"achievement.paparazzo.challenge.cond":"提示：自己死的不算。",
"achievement.paparazzo.challenge.flavor":"“这是被诅咒的照片！”——会议记录。",

"achievement.scarlet.common1.title":"海王本王",
"achievement.scarlet.common1.goal":"指定一个本命和多个备胎，后宫开张！",
"achievement.scarlet.common1.cond":"",

"achievement.scarlet.common2.title":"女王驾到",
"achievement.scarlet.common2.goal":"用号召累计投掉3人，女王威严！",
"achievement.scarlet.common2.cond":"",

"achievement.scarlet.another1.title":"魅魔诅咒",
"achievement.scarlet.another1.goal":"因魅魔死被连累，备胎悲剧！",
"achievement.scarlet.another1.cond":"",

"achievement.scarlet.another2.title":"绿茶警告",
"achievement.scarlet.another2.goal":"会上被号召投掉，绿茶胜利！",
"achievement.scarlet.another2.cond":"",
"achievement.scarlet.another2.flavor":"“好哥哥们，就是他欺负我！”——魅魔之声。",

"achievement.scarlet.love.title":"自爱女王",
"achievement.scarlet.love.goal":"魅魔赢时只有本命赢，专一女王！",
"achievement.scarlet.love.cond":"提示：魅魔有额外胜利条件。",
"achievement.scarlet.love.flavor":"“这是诅咒！”",

"achievement.scarlet.challenge.title":"女皇登基",
"achievement.scarlet.challenge.goal":"号召投一人，至少两备胎死两活，与本命赢，女皇加冕！",
"achievement.scarlet.challenge.cond":"",

"achievement.spectre.common1.title":"吃货狐妖",
"achievement.spectre.common1.goal":"吃20份油豆腐，狐妖大餐！",
"achievement.spectre.common1.cond":"",

"achievement.spectre.common2.title":"隐身大师",
"achievement.spectre.common2.goal":"隐身20次，狐妖秘术！",
"achievement.spectre.common2.cond":"",

"achievement.spectre.another1.title":"油腻发言",
"achievement.spectre.another1.goal":"只吃一块油豆腐就被投，狐妖翻车！",
"achievement.spectre.another1.cond":"",
"achievement.spectre.another1.flavor":"“太油了！别妖言惑众！”",

"achievement.spectre.another2.title":"饿死鬼",
"achievement.spectre.another2.goal":"饿死，狐妖悲剧！",
"achievement.spectre.another2.cond":"",

"achievement.spectre.costume1.title":"真·九尾狐",
"achievement.spectre.costume1.goal":"用九尾狐装扮当狐妖赢，本狐降临！",
"achievement.spectre.costume1.cond":"",
"achievement.spectre.costume1.flavor":"“我将展示全部姿态！”",

"achievement.spectre.common3.title":"狐妖窃喜",
"achievement.spectre.common3.goal":"狐妖偷特殊胜利赢，窃喜狐妖！",
"achievement.spectre.common3.cond":"",

"achievement.spectre.challenge.title":"血染地板",
"achievement.spectre.challenge.goal":"所有伪装者存活时狐妖赢，狐妖统治！",
"achievement.spectre.challenge.cond":"提示：伪装者2人以上。",
"achievement.spectre.challenge.flavor":"“无从下脚”",

"achievement.spectreFollower.common1.title":"美食家",
"achievement.spectreFollower.common1.goal":"吃10次油豆腐，狐妖吃货！",
"achievement.spectreFollower.common1.cond":"",

"achievement.spectreFollower.hard1.title":"狐妖篡位",
"achievement.spectreFollower.hard1.goal":"当狐妖赢且原狐妖输，篡位成功！",
"achievement.spectreFollower.hard1.cond":"",

"achievement.spectreFollower.challenge.title":"大胃狐",
"achievement.spectreFollower.challenge.goal":"饱食度超过狐妖还赢，吃货胜利！",
"achievement.spectreFollower.challenge.cond":"",
"achievement.spectreFollower.challenge.flavor":"吃饱喝足就满足。",

"achievement.spectreImmoralist.common1.title":"信徒",
"achievement.spectreImmoralist.common1.goal":"累计供奉10个油豆腐，虔诚信仰！",
"achievement.spectreImmoralist.common1.cond":"",

"achievement.spectreImmoralist.common2.title":"新时代狐妖",
"achievement.spectreImmoralist.common2.goal":"累计取走10次油豆腐，狐妖新贵！",
"achievement.spectreImmoralist.common2.cond":"",

"achievement.spectreImmoralist.common3.title":"乖狐狐",
"achievement.spectreImmoralist.common3.goal":"在狐妖面前供奉油豆腐，乖信徒！",
"achievement.spectreImmoralist.common3.cond":"",
"achievement.spectreImmoralist.common3.flavor":"※纯属信仰，不是投喂。",

"achievement.spectreImmoralist.hard1.title":"不灭意志",
"achievement.spectreImmoralist.hard1.goal":"从背德者变身份，见证狐妖死，非狐妖方式赢，绝地求生！",
"achievement.spectreImmoralist.hard1.cond":"",
"achievement.spectreImmoralist.hard1.flavor":"绝望中生机。",

"achievement.spectreImmoralist.challenge.title":"舍身成仁",
"achievement.spectreImmoralist.challenge.goal":"自杀或被投后因狐妖赢而赢，牺牲胜利！",
"achievement.spectreImmoralist.challenge.cond":"",
"achievement.spectreImmoralist.challenge.flavor":"命运或自我意志。",

"achievement.vulture.common1.title":"美味尸体",
"achievement.vulture.common1.goal":"吃一具尸体，秃鹫开餐！",
"achievement.vulture.common1.cond":"",

"achievement.vulture.challenge.title":"自助大餐",
"achievement.vulture.challenge.goal":"赢且没人报告尸体，秃鹫盛宴！",
"achievement.vulture.challenge.cond":"",

"achievement.guesser.common1.title":"马脚露了",
"achievement.guesser.common1.goal":"赌杀一人，赌徒本色！",
"achievement.guesser.common1.cond":"",
"achievement.guesser.common1.flavor":"生命就是豪赌！"
"achievement.guesser.challenge.title":"豪赌成瘾者",
"achievement.guesser.challenge.goal":"赌杀3名及以上玩家，全押就完事了！",
"achievement.guesser.challenge.cond":"",
"achievement.guesser.challenge.flavor":"梭哈！",

"achievement.bloody.common1.title":"血染的风采",
"achievement.bloody.common1.goal":"让凶手身上沾满你的血，死了也要留点纪念！",
"achievement.bloody.common1.cond":"",
"achievement.bloody.common1.flavor":"死也要拉个垫背的！",

"achievement.bloody.challenge.title":"血债血偿",
"achievement.bloody.challenge.goal":"凶手沾了你的血，然后会上被大家票出局！",
"achievement.bloody.challenge.cond":"",
"achievement.bloody.challenge.flavor":"天道好轮回，苍天饶过谁！",

"achievement.confused.common1.title":"我是谁？",
"achievement.confused.common1.goal":"迷茫者的能力发动成功，成功让别人也懵圈。",
"achievement.confused.common1.cond":"",

"achievement.confused.another1.title":"懵逼而亡",
"achievement.confused.another1.goal":"在迷茫者能力发动前就挂了，死得不明不白。",
"achievement.confused.another1.cond":"",

"achievement.confused.challenge.title":"未来可期？",
"achievement.confused.challenge.goal":"活着撑到最后，只剩船员阵营时获胜。",
"achievement.confused.challenge.cond":"提示：第三方阵营≥2，伪装者阵营≥2",

"achievement.damned.common1.title":"黑化现场",
"achievement.damned.common1.goal":"被诅咒后，从船员摇身一变成伪装者。",
"achievement.damned.common1.cond":"",

"achievement.damned.common2.title":"天选恶人",
"achievement.damned.common2.goal":"被诅咒后，直接变成受诅咒者职业的伪装者。",
"achievement.damned.common2.cond":"",

"achievement.damned.common3.title":"叛变者",
"achievement.damned.common3.goal":"因为诅咒，从独立阵营倒戈到伪装者阵营。",
"achievement.damned.common3.cond":"",
"achievement.damned.common3.flavor":"“对不起，我觉得他是对的！”——会议记录如是说。",

"achievement.damned.another1.title":"背叛的下场",
"achievement.damned.another1.goal":"从伪装者阵营叛变后，被驱逐、赌杀或击杀。",
"achievement.damned.another1.cond":"",

"achievement.damned.challenge.title":"回头是岸",
"achievement.damned.challenge.goal":"被诅咒从伪装者变船员，并带领船员胜利。",
"achievement.damned.challenge.cond":"",
"achievement.damned.challenge.flavor":"“我想做个好人！”——手上沾血的伪装者如是说。",

"achievement.combination.2.damned.avenger.hard.title":"悲情落幕",
"achievement.combination.2.damned.avenger.hard.goal":"复仇者击杀受诅咒者凶手，并继承其职业胜利。<br><br><size=75%><color=#aaaaaa>若凶手是受诅咒者，诅咒转移，受诅咒者死亡，复仇者继承其身份。</color></size>",
"achievement.combination.2.damned.avenger.hard.cond":"提示：原恋人不胜利。",
"achievement.combination.2.damned.avenger.hard.flavor":"“这是个悲剧，但充满戏剧性。”——幕后演员。",

"achievement.ember.another1.title":"诅咒反噬",
"achievement.ember.another1.goal":"被复仇者击杀，但因是受诅咒者化为余烬而输。",
"achievement.ember.another1.cond":"",
"achievement.ember.another1.flavor":"“——这是你应得的报应！”",

"achievement.ember.another2.title":"风平浪静",
"achievement.ember.another2.goal":"被复仇者击杀，但因是受诅咒者死亡后仍胜利。",
"achievement.ember.another2.cond":"",
"achievement.ember.another2.flavor":"“人生嘛，风浪见多了。”",

"achievement.disclosure.common1.title":"直播现场",
"achievement.disclosure.common1.goal":"在鼠标光标被公开的状态下投票。",
"achievement.disclosure.common1.cond":"",

"achievement.disclosure.challenge.title":"舆论操控大师",
"achievement.disclosure.challenge.goal":"投票超5秒，且3人以上跟你投同一个人，并让3个不同阵营玩家被票出。",
"achievement.disclosure.challenge.cond":"",

"achievement.extraMission.common1.title":"任务终结者",
"achievement.extraMission.common1.goal":"额外任务目标死亡。",
"achievement.extraMission.common1.cond":"",

"achievement.extraMission.another1.title":"死后同归",
"achievement.extraMission.another1.goal":"自己死后，任务目标也跟着死。",
"achievement.extraMission.another1.cond":"",

"achievement.extraMission.common2.title":"天选之子",
"achievement.extraMission.common2.goal":"成为额外任务目标并活到最后。",
"achievement.extraMission.common2.cond":"",

"achievement.extraMission.common3.title":"意料之中的背叛",
"achievement.extraMission.common3.goal":"把票投给额外任务目标并成功驱逐。",
"achievement.extraMission.common3.cond":"提示：自己和目标同阵营（叛徒除外）。",

"achievement.extraMission.another2.title":"任务未竟",
"achievement.extraMission.another2.goal":"任务目标没死，但游戏失败。",
"achievement.extraMission.another2.cond":"",
"achievement.extraMission.another2.flavor":"也许任务太难了。",

"achievement.extraMission.challenge.title":"疑神疑鬼",
"achievement.extraMission.challenge.goal":"额外任务目标死亡，同时你是别人任务目标却活到最后并胜利。",
"achievement.extraMission.challenge.cond":"",

"achievement.lover.common1.title":"生死相依",
"achievement.lover.common1.goal":"和爱人一起单独胜利。",
"achievement.lover.common1.cond":"",

"achievement.lover.another1.title":"同生共死",
"achievement.lover.another1.goal":"爱人被杀后自己也跟着死亡。",
"achievement.lover.another1.cond":"",

"achievement.lover.challenge.title":"真爱无敌",
"achievement.lover.challenge.goal":"两个伪装者存活，自己非伪装者阵营却取代伪装者胜利。",
"achievement.lover.challenge.cond":"",

"achievement.avenger.common1.title":"复仇成功",
"achievement.avenger.common1.goal":"成功击杀复仇对象。",
"achievement.avenger.common1.cond":"",

"achievement.avenger.common2.title":"反杀高手",
"achievement.avenger.common2.goal":"成为复仇对象后反杀复仇者。",
"achievement.avenger.common2.cond":"",
"achievement.avenger.common2.flavor":"菜就多练！",

"achievement.avenger.another1.title":"复仇未遂",
"achievement.avenger.another1.goal":"复仇对象不是被你杀死的。",
"achievement.avenger.another1.cond":"",

"achievement.avenger.another2.title":"为爱赴死",
"achievement.avenger.another2.goal":"击杀复仇对象后自己也死亡。",
"achievement.avenger.another2.cond":"",

"achievement.avenger.challenge.title":"双雄对决",
"achievement.avenger.challenge.goal":"自己和对手都是复仇者，并最终获胜。",
"achievement.avenger.challenge.cond":"",

"achievement.obsessional.common1.title":"暗恋成真",
"achievement.obsessional.common1.goal":"和暗恋对象一起胜利。",
"achievement.obsessional.common1.cond":"",

"achievement.obsessional.another1.title":"殉情而亡",
"achievement.obsessional.another1.goal":"因暗恋对象死亡而自杀。",
"achievement.obsessional.another1.cond":"",
"achievement.obsessional.another1.flavor":"“我一直默默爱着你……”——自杀者遗言。",

"achievement.obsessional.another2.title":"单相思",
"achievement.obsessional.another2.goal":"自己是伪装者，暗恋对象不是，导致伪装者胜利而失败。",
"achievement.obsessional.another2.cond":"",

"achievement.obsessional.lover1.title":"三角关系",
"achievement.obsessional.lover1.goal":"暗恋对象恋人胜利，自己也跟着胜利。",
"achievement.obsessional.lover1.cond":"",
"achievement.obsessional.lover1.flavor":"奇妙的关系网。",

"achievement.obsessional.lover2.title":"爱而不得",
"achievement.obsessional.lover2.goal":"暗恋对象因为是恋人跟随对象导致自己失败。",
"achievement.obsessional.lover2.cond":"",

"achievement.obsessional.challenge.title":"二人世界",
"achievement.obsessional.challenge.goal":"只和暗恋对象两人获胜。",
"achievement.obsessional.challenge.cond":"",

"achievement.secret.common1.title":"觉醒时刻",
"achievement.secret.common1.goal":"通过击杀或完成任务觉醒职业。",
"achievement.secret.common1.cond":"",

"achievement.secret.another1.title":"躺赢王者",
"achievement.secret.another1.goal":"觉醒时就赢了。",
"achievement.secret.another1.cond":"",
"achievement.secret.another1.flavor":"全靠队友带飞。",

"achievement.secret.another2.title":"美梦成真",
"achievement.secret.another2.goal":"没觉醒但依然胜利。",
"achievement.secret.another2.cond":"",
"achievement.secret.another2.flavor":"梦里啥都有。",

"achievement.secret.challenge.title":"高玩认证",
"achievement.secret.challenge.goal":"觉醒同时完成觉醒职业挑战。",
"achievement.secret.challenge.cond":"",

"achievement.tieBreaker.common1.title":"独裁裁决",
"achievement.tieBreaker.common1.goal":"平局时追加一票。",
"achievement.tieBreaker.common1.cond":"",

"achievement.tieBreaker.challenge.title":"关键一票",
"achievement.tieBreaker.challenge.goal":"用追加票驱逐非同阵营玩家。",
"achievement.tieBreaker.challenge.cond":"",

"achievement.trilemma.common1.title":"三足鼎立",
"achievement.trilemma.common1.goal":"拥有三角仇且是最后存活者。",
"achievement.trilemma.common1.cond":"",

"achievement.trilemma.another1.title":"开局即出局",
"achievement.trilemma.another1.goal":"拥有三角仇且第一个被淘汰。",
"achievement.trilemma.another1.cond":"",
"achievement.trilemma.another1.flavor":"“我也不想出剪刀啊！”",

"achievement.trilemma.common2.title":"死后翻盘",
"achievement.trilemma.common2.goal":"拥有三角仇被淘汰但仍胜利。",
"achievement.trilemma.common2.cond":"其他三角仇玩家必须失败。",

"achievement.trilemma.challenge.title":"孤独求败",
"achievement.trilemma.challenge.goal":"拥有三角仇并存活到最后，靠自己击杀结束游戏。",
"achievement.trilemma.challenge.cond":"",
"achievement.trilemma.challenge.flavor":"“无敌是多么寂寞~”",

"achievement.clog.common1.title":"怨气成形",
"achievement.clog.common1.goal":"召唤出有实体的灵魂。",
"achievement.clog.common1.cond":"",

"achievement.clog.another1.title":"队友召唤",
"achievement.clog.another1.goal":"任一伪装者队友接近你放置的灵魂。",
"achievement.clog.another1.cond":"",

"achievement.clog.common2.title":"破坏胜利",
"achievement.clog.common2.goal":"用能力破坏胜利。",
"achievement.clog.common2.cond":"",

"achievement.grudge.common1.title":"怨灵现身",
"achievement.grudge.common1.goal":"在存活者身边实体化。",
"achievement.grudge.common1.cond":"",

"achievement.grudge.common2.title":"恭候多时",
"achievement.grudge.common2.goal":"在无人处实体化等待存活玩家。",
"achievement.grudge.common2.cond":"提示：无人处保持实体化5秒以上。",

"achievement.grudge.common3.title":"绝地翻盘",
"achievement.grudge.common3.goal":"通过特殊任务独立胜利。",
"achievement.grudge.common3.cond":"",

"achievement.hallucination.common1.title":"幻影初现",
"achievement.hallucination.common1.goal":"召唤一个幻形。",
"achievement.hallucination.common1.cond":"",

"achievement.hallucination.common2.title":"幻影迷踪",
"achievement.hallucination.common2.goal":"在存活玩家面前召唤幻形。",
"achievement.hallucination.common2.cond":"",

"achievement.hallucination.common3.title":"镜中相遇",
"achievement.hallucination.common3.goal":"与被操作幻形同模样的玩家相遇。",
"achievement.hallucination.common3.cond":"",

"achievement.hallucination.another1.title":"栽赃陷害",
"achievement.hallucination.another1.goal":"幻形某玩家后，该玩家被驱逐。",
"achievement.hallucination.another1.cond":"",

"achievement.lumine.common1.title":"圣光普照",
"achievement.lumine.common1.goal":"发动技能照亮尸体。",
"achievement.lumine.common1.cond":"",

"achievement.lumine.another1.title":"自我照亮",
"achievement.lumine.another1.goal":"发动技能照亮自己的尸体。",
"achievement.lumine.another1.cond":"",

"achievement.noiseghost.common1.title":"鬼哭狼嚎",
"achievement.noiseghost.common1.goal":"使用一次技能。",
"achievement.noiseghost.common1.cond":"",

"achievement.noiseghost.common2.title":"哀嚎不止",
"achievement.noiseghost.common2.goal":"使用20次以上技能。",
"achievement.noiseghost.common2.cond":"",

"achievement.poltergeist.common1.title":"诈尸现场",
"achievement.poltergeist.common1.goal":"拖动一次尸体。",
"achievement.poltergeist.common1.cond":"",

"achievement.omikuji.title":"欧气满满",
"achievement.omikuji.goal":"一局获得3个特技。",
